year,price,mileage,make,model
2014,33.888,17.714,Chevrolet ,Silverado
2014,13.995,35.535,VW,Jetta
2013,9.995,55.8,VW,Jetta
2004,6.666,135.9,Nissan,Altima
2016,12.95,35.517,Kia,Soul
2016,29.877,15.253,NIssan,Frontier
2014,28.9,27.892,Chevrolet ,Silverado
2017,34.9,7.856,Mercedes,Cclass
2014,26.95,24.629,BMW,371
2016,17.15,25.284,Ford,Escape
2017,25.888,0.006,Ford,Escape
2006,11.99,118.712,Nissan,Altima
2014,13.56,21.303,Kia,Soul
2011,13.995,87.011,Subaru,Outback
2015,18.9,36.165,Ford,Escape
2005,7.299,210.56,Mercedes,Eclass
2016,46.995,16.017,Honda,Accord
2016,13.9,32.13,Kia,Soul
2010,5.3,180,Chevrolet ,Equinox
2014,31.998,32.07,Mercedes,Eclass
2015,19.8,27.058,Subaru,Outback
2016,32.988,7.099,Mercedes,Cclass
2016,37.773,25.516,Honda,Accord
2014,25.425,24.384,Chevrolet ,Silverado
2010,20.987,51.556,Nissan,Altima
2014,21.9,37.914,Nissan,Rogue
2011,6.995,59,Kia,Soul
2014,29.995,29.956,Mercedes,Eclass
2017,30.028,2.012,Ford,Escape
2016,50.994,14.794,BMW,X16
2016,57.871,23.939,GMC,Yukon
2011,19.999,71.289,Jeep,Cherokee
2012,8.995,90.211,VW,Jetta
2005,11.99,125.244,Nissan,Altima
2015,25.975,27.82,Mercedes,Cclass
2014,18.988,44.158,Subaru,Outback
2017,53.084,5.413,BMW,X44
2015,33.987,33.116,Jeep,Cherokee
2014,15.983,71.474,Nissan,Rogue
2016,16.199,31.127,Nissan,Rogue
2014,33.585,20.697,Chevrolet ,Silverado
2008,7.91,107.106,Ford,Escape
2015,19.999,36.512,Toyota,Rav17
2014,31.999,29.247,Honda,Accord
2013,19.48,59.845,Subaru,Outback
2014,12.29,65.321,VW,Jetta
2015,10.999,46.641,VW,Jetta
2014,12.995,27.641,VW,Jetta
2015,17.995,49.243,Nissan,Rogue
2016,33.888,65.652,Honda,Accord
2013,17.888,80.396,BMW,328
2007,10.995,91.793,Jeep,Cherokee
2014,26.695,55.807,Mercedes,Eclass
2000,6.999,177,Honda,Accord
2012,16.995,30.389,Ford,Escape
2016,21.095,38.9,Toyota,Rav49
2015,10.99,34.858,Kia,Soul
2006,4.999,146.65,Jeep,Cherokee
2014,18.461,43.602,Toyota,Rav40
2013,14,63.104,Ford,Escape
2017,67.395,4.246,BMW,X51
2017,36.042,2.084,Ford,Escape
2015,24.459,21.29,Nissan,Altima
2014,17.5,25,Toyota,Rav45
2016,31.848,42.134,Honda,Accord
2015,35.877,35.786,Mercedes,Eclass
2011,12.9,61.698,Chevrolet ,Equinox
2011,30.998,40.931,Honda,Accord
2006,5.449,89.82,Ford,Escape
2015,12.688,49.849,NIssan,Frontier
2013,11.849,67.126,Subaru,Outback
2015,10.749,48.087,VW,Jetta
2016,13.9,31.851,Kia,Soul
2014,14.995,21.257,VW,Jetta
2015,17.988,35.281,Toyota,Rav6
2014,21.656,56.002,BMW,328
2013,17.9,74.02,Toyota,Rav34
2015,17.488,53.071,Toyota,Rav9
2003,5.942,134.05,Mercedes,Eclass
2013,18.99,38.927,BMW,367
2016,12.585,42.102,VW,Jetta
2016,22.999,23.865,Chevrolet ,Equinox
2013,16.998,37.972,Nissan,Rogue
2013,17.6,40,Mercedes,Cclass
2015,28.495,27.602,Chevrolet ,Equinox
2016,16.998,14.568,NIssan,Frontier
2015,37.998,36.408,BMW,X37
2014,12.788,40.135,Kia,Soul
2009,17.197,78.621,NIssan,Frontier
2014,16.566,63.259,Ford,Escape
2012,12,106.496,Subaru,Outback
2011,12.995,84.31,Nissan,Rogue
2014,27.5,23.996,NIssan,Frontier
2016,12.875,37.25,Kia,Soul
2014,15.775,64.081,Ford,Escape
2015,22.924,30.154,NIssan,Frontier
2015,41.849,39.806,BMW,X39
2009,13.495,88.772,BMW,X19
2014,9.995,59.963,Kia,Soul
2015,24.459,21.29,NIssan,Frontier
2015,29.495,47.107,Honda,Accord
2015,32.888,30.479,Jeep,Cherokee
2014,17.995,44.562,Ford,Escape
2016,30.976,24.444,Subaru,Outback
2016,48.983,32.825,GMC,Yukon
2014,25.931,33.752,BMW,374
2014,56.695,49.077,Mercedes,Cclass
2014,18.497,22.611,Nissan,Rogue
2014,30.587,29.331,Honda,Accord
2015,19.888,38.423,Ford,Escape
2015,29.998,25.942,Jeep,Cherokee
2015,36.788,37.497,Mercedes,Eclass
2014,26.75,43.605,Jeep,Cherokee
2010,10.995,116.109,Chevrolet ,Equinox
2016,37,16.856,Honda,Accord
2009,13.99,150.782,NIssan,Frontier
2014,21.998,27.22,Nissan,Altima
2014,18.3,35.279,Ford,Escape
2011,24.888,37.172,Chevrolet ,Silverado
2015,49,28,GMC,Yukon
2010,7.988,110.589,Jeep,Cherokee
2008,9.995,58.568,Nissan,Rogue
2014,11.29,31.895,Kia,Soul
2016,24.995,16.983,Ford,Escape
2014,7.995,41.721,VW,Jetta
2006,11.99,118.712,NIssan,Frontier
2013,13.5,81.616,Ford,Escape
2006,11.988,165.348,Honda,Accord
2015,46.35,16.588,BMW,X25
2014,17.995,51.956,Ford,Escape
2016,12.699,38.557,Kia,Soul
2014,22.988,36.824,BMW,328
2003,5.495,237.931,Honda,Accord
2017,26.979,8.812,Ford,Escape
2012,14.495,90.002,Subaru,Outback
2016,28.998,42.385,Honda,Accord
2009,14.785,89.134,BMW,X30
2012,20.999,33.247,Subaru,Outback
2011,12.999,145.622,Nissan,Altima
2017,51.499,6.649,BMW,X18
2014,13.497,42.687,Nissan,Altima
2014,27.77,17.262,BMW,351
2012,10.999,88.356,Ford,Escape
2015,35.998,6.721,Jeep,Cherokee
2015,32.988,26.075,Mercedes,Cclass
2014,32.998,41.026,GMC,Yukon
2015,14.141,5.823,Kia,Soul
2014,26.999,52.047,Jeep,Cherokee
2016,35.989,8.415,Honda,Accord
2015,43.85,10.418,Mercedes,Eclass
2015,31.5,21.695,Chevrolet ,Silverado
2013,15.995,44.47,Ford,Escape
2014,24.99,38.132,BMW,352
2013,16.25,46.723,Subaru,Outback
2014,10.994,67.01,Kia,Soul
2017,33.995,14.666,Honda,Accord
2016,55.99,21.291,GMC,Yukon
2013,9.969,77.861,VW,Jetta
2016,24.995,12.94,Nissan,Rogue
2006,9.989,127.242,Nissan,Altima
2014,28.5,40.502,BMW,329
2013,16.982,62.511,BMW,328
2011,12.999,145.622,NIssan,Frontier
2011,12.995,85.101,Subaru,Outback
2013,13.499,77.729,Nissan,Rogue
2015,23.638,19.953,Subaru,Outback
2015,23.834,34.436,Subaru,Outback
2007,7.999,145.235,Mercedes,Eclass
2012,29.588,36.581,Chevrolet ,Silverado
2015,18.382,28.77,Ford,Escape
2015,17.2,17.4,Nissan,Altima
2014,21.975,33.411,Mercedes,Cclass
2012,17.95,35.872,NIssan,Frontier
2004,9.999,136,Honda,Accord
2015,17.977,15.138,Kia,Soul
2014,25.98,27.419,BMW,336
2014,18.275,51.875,Subaru,Outback
2005,6.995,100.182,Subaru,Outback
2007,12.944,72.013,Jeep,Cherokee
2015,26.997,46.091,Jeep,Cherokee
2011,10.988,90.749,Ford,Escape
2015,31.989,29.818,Jeep,Cherokee
2015,53.125,40.085,GMC,Yukon
2015,30.981,22.968,Mercedes,Cclass
2016,14.888,23.113,VW,Jetta
2009,11.998,108,Toyota,Rav23
2015,23.4,41.699,Subaru,Outback
2014,26.88,34.549,BMW,340
2015,9.995,53.489,VW,Jetta
2007,9.75,111.24,BMW,328
2014,15.495,9.826,VW,Jetta
2013,12.995,98.722,Nissan,Rogue
2010,12.888,72.787,Chevrolet ,Equinox
2014,22.598,34.903,Nissan,Altima
2016,19.195,20.231,Ford,Escape
2015,34.588,46.909,BMW,X43
2015,27.877,13.761,BMW,328
2014,34.425,17.355,Chevrolet ,Silverado
2016,21,17.376,Nissan,Rogue
2014,29.888,30.717,BMW,328
2015,29.995,27.681,Nissan,Altima
2015,15.732,42.171,Chevrolet ,Equinox
2015,21.98,21.845,Subaru,Outback
2013,15.945,61.355,Subaru,Outback
2012,24.995,62.411,BMW,X21
2014,24.707,27.914,BMW,328
2005,5.995,207.113,Subaru,Outback
2013,15.874,12.865,Chevrolet ,Equinox
2013,20.995,29.519,BMW,328
2011,20.876,88.837,GMC,Yukon
2015,24.338,35.686,Subaru,Outback
2009,8.682,126.699,Subaru,Outback
2014,44.99,15.716,Chevrolet ,Silverado
2016,34.988,10.416,Honda,Accord
2014,12,37.35,Kia,Soul
2013,9.49,41.999,VW,Jetta
2011,22.995,45.919,Mercedes,Eclass
2008,8.295,123.636,BMW,365
2014,21.995,62.001,Subaru,Outback
2015,47.986,65.97,GMC,Yukon
2015,22.981,42.704,BMW,328
2014,23.5,34.999,BMW,332
2017,54.9,10.796,BMW,X14
2015,19.998,30.122,Nissan,Rogue
2016,63.987,2.664,GMC,Yukon
2010,13.998,81.578,BMW,328
2011,7.997,115.59,Subaru,Outback
2014,28.98,23.359,BMW,355
2015,13,39.524,Kia,Soul
2015,20.488,24.472,Toyota,Rav20
2015,21.985,35.977,Subaru,Outback
2013,14.99,51.875,Chevrolet ,Equinox
2013,17.495,55.135,Toyota,Rav21
2006,5.995,153,Toyota,Rav5
2017,52.388,4.241,BMW,X26
2009,8.495,101.573,Nissan,Rogue
2014,18.888,38.87,Ford,Escape
2016,29.999,38.746,Honda,Accord
2013,18.099,61.951,BMW,354
2014,26.991,11.936,BMW,328
2016,53.9,32.404,GMC,Yukon
2013,19.999,41.583,BMW,357
2010,11.995,86.722,Jeep,Cherokee
2011,28.75,71.387,GMC,Yukon
2013,17,74.86,BMW,343
2017,27.999,2.857,Subaru,Outback
2011,10,111.413,Nissan,Rogue
2014,24.995,18.733,Chevrolet ,Equinox
2016,25.99,20.28,Subaru,Outback
2016,33.977,0.04,BMW,328
2013,15.9,42.088,Ford,Escape
2011,11.395,68.72,Nissan,Rogue
2013,20.433,36.109,Toyota,Rav36
2014,23.988,39.308,BMW,328
2011,13.481,70.776,Mercedes,Cclass
2014,41.982,19.62,BMW,X9
2015,17.998,30.969,Ford,Escape
2014,29.898,25.2,BMW,328
2016,21.995,33.918,Ford,Escape
2016,19.847,31.035,Chevrolet ,Equinox
2014,16.3,77.384,VW,Jetta
2011,25.434,43.921,Chevrolet ,Silverado
2014,19.8,32.685,Chevrolet ,Silverado
2014,22.888,5.134,Subaru,Outback
2015,21.75,32.59,Toyota,Rav15
2016,16.998,14.568,Nissan,Altima
2014,17.995,34.5,Ford,Escape
2014,16.998,30.117,Nissan,Rogue
2015,25.982,21.441,BMW,328
2014,9.798,78,Kia,Soul
2015,16.968,19.956,Chevrolet ,Equinox
2009,17.688,63.82,Honda,Accord
2007,10.888,120.72,BMW,X33
2011,15.497,75.344,BMW,353
2009,5.2,117,VW,Jetta
2014,19.99,41.078,Nissan,Altima
2014,12.645,33.49,VW,Jetta
2011,11.999,90.925,Ford,Escape
2015,26.988,33.487,Mercedes,Cclass
2015,18.9,54.727,NIssan,Frontier
2015,16.995,58,Chevrolet ,Equinox
2014,14.49,25.967,Nissan,Altima
2015,30.995,16.503,Mercedes,Cclass
2014,20.9,35.927,Ford,Escape
2015,51.9,44.051,GMC,Yukon
2017,32.998,22.52,Mercedes,Cclass
2014,28.9,23.872,BMW,328
2014,21.775,63.486,Subaru,Outback
2012,9.888,48.505,Kia,Soul
2011,15.988,86.883,Jeep,Cherokee
2015,43.499,14,Mercedes,Eclass
2006,11.995,115.938,GMC,Yukon
2014,18.995,42.046,Ford,Escape
2010,10.499,78.15,Chevrolet ,Equinox
2017,57.992,3.8,Mercedes,Eclass
2015,33.88,21.449,BMW,341
2014,22.996,26.835,Toyota,Rav32
2010,11.498,88.415,Subaru,Outback
2015,23.763,25.684,NIssan,Frontier
2013,15.948,65.731,Toyota,Rav7
2017,49.989,5.356,BMW,X27
2016,19.995,16.191,Kia,Soul
2014,20.58,35.52,Subaru,Outback
2014,14.995,27.275,VW,Jetta
2007,13.745,115.196,GMC,Yukon
2017,34.9,12.533,Mercedes,Cclass
2017,20.388,24.133,Ford,Escape
2008,9.988,199.1,GMC,Yukon
2009,11.995,75.1,BMW,372
2016,21.65,48.045,NIssan,Frontier
2005,12.777,118.728,Honda,Accord
2014,30.98,8.054,Mercedes,Cclass
2017,59.27,6.568,BMW,X40
2017,37.295,23.374,Jeep,Cherokee
2010,11.995,81.699,Mercedes,Eclass
2014,11.844,9.262,Kia,Soul
2015,17.497,90.153,Subaru,Outback
2015,15.25,34.963,Chevrolet ,Equinox
2010,19.95,113.656,GMC,Yukon
2011,11.999,90.925,Ford,Escape
2014,34.895,47.904,Honda,Accord
2010,9.438,133.67,Subaru,Outback
2015,23.495,36.985,Chevrolet ,Equinox
2011,25.775,55.313,Chevrolet ,Silverado
2015,21.897,45.412,Nissan,Rogue
2016,19.995,20.348,Ford,Escape
2015,36.23,38.223,BMW,X36
2011,8.535,130.678,Nissan,Rogue
2013,5.9,90.757,Kia,Soul
2010,13.995,111.579,BMW,X22
2014,15.7,38.925,Nissan,Altima
2012,11.995,111.237,Subaru,Outback
2013,18.975,82.589,Jeep,Cherokee
2015,38.496,18.533,Mercedes,Eclass
2008,13.491,114.078,Honda,Accord
2014,28.685,47.667,Chevrolet ,Silverado
2008,4.991,161.871,Nissan,Rogue
2011,21.379,66.928,Chevrolet ,Silverado
2014,25.998,40.4,Jeep,Cherokee
2015,18.983,95.148,Subaru,Outback
2016,24.394,25.696,BMW,328
2015,29.995,41.773,Mercedes,Eclass
2014,45.988,23.209,BMW,X52
2007,7.495,83,Chevrolet ,Equinox
2006,9.9,139,Chevrolet ,Silverado
2015,24.891,39.074,Subaru,Outback
2014,24.987,20.847,NIssan,Frontier
2012,17.85,37.35,BMW,328
2015,12.609,43.177,Kia,Soul
2009,12,85.091,BMW,362
2011,12.583,80.491,Chevrolet ,Equinox
2011,15.388,112.43,NIssan,Frontier
2014,30.497,36.238,Jeep,Cherokee
2017,24.888,8.793,Ford,Escape
2005,8.99,109.98,Jeep,Cherokee
2008,10.674,95.234,Mercedes,Cclass
2015,10.995,30.125,VW,Jetta
2013,12.975,66.679,Nissan,Rogue
2013,18.991,83.509,Nissan,Altima
2007,11.995,108.987,Honda,Accord
2014,28.9,34.483,Jeep,Cherokee
2015,30.96,18.408,Chevrolet ,Silverado
2012,7.99,69.013,Kia,Soul
2013,17.9,58.273,Chevrolet ,Equinox
2014,25.995,46.389,Mercedes,Eclass
2011,17.585,85.012,Subaru,Outback
2014,14.499,38.634,VW,Jetta
2014,17.823,57.105,Subaru,Outback
2015,24.495,22.288,Subaru,Outback
2011,8.9,67.94,VW,Jetta
2008,18.999,114.133,GMC,Yukon
2016,29.877,15.253,Nissan,Altima
2005,9.45,151.714,Honda,Accord
2007,9.995,144.422,Nissan,Altima
2014,17.425,37.712,Ford,Escape
2015,21,61.963,Toyota,Rav25
2014,28.5,22.906,BMW,328
2009,6.99,131.274,Mercedes,Eclass
2013,15.977,52.158,Chevrolet ,Equinox
2015,22.924,30.154,Nissan,Altima
2007,8.657,96.952,BMW,328
2014,22.975,22.479,Mercedes,Cclass
2014,27.485,33.976,Mercedes,Eclass
2014,20.978,41.745,Nissan,Rogue
2015,29.981,29.166,Mercedes,Cclass
2014,30.8,36.248,Chevrolet ,Silverado
2012,13.995,70.503,Nissan,Rogue
2004,6.998,205.194,Honda,Accord
2015,38.475,30.16,BMW,X6
2016,33.486,15.851,Honda,Accord
2011,14.999,75.336,Chevrolet ,Equinox
2016,19.26,18.418,Nissan,Rogue
2014,26.995,62.911,Chevrolet ,Silverado
2014,35.988,32.368,Honda,Accord
2013,14.695,124.644,Jeep,Cherokee
2015,18.307,25.625,Nissan,Rogue
2015,21.798,36.663,Subaru,Outback
2015,12.343,42.604,Kia,Soul
2003,3.495,137.712,VW,Jetta
2014,14.49,25.967,NIssan,Frontier
2013,14.577,98.251,Toyota,Rav13
2016,13.599,14.791,Kia,Soul
2015,17.5,38.453,Chevrolet ,Equinox
2015,20.988,39.722,Nissan,Rogue
2014,26.981,37.519,Mercedes,Cclass
2014,13.488,19.531,Kia,Soul
2011,25.987,61.395,GMC,Yukon
2015,22.998,12.515,Nissan,Rogue
2013,25.299,23.809,Chevrolet ,Silverado
2017,43.995,12.504,Honda,Accord
2005,10.995,183.015,Honda,Accord
2015,26.981,35.49,Mercedes,Cclass
2017,28.999,2.848,Subaru,Outback
2015,26.998,60.25,Jeep,Cherokee
2014,19.9,61.303,BMW,344
2015,12.688,49.849,Nissan,Altima
2014,17.9,25.161,Ford,Escape
2016,18.888,39.949,Ford,Escape
2016,21.9,37.19,Toyota,Rav18
2015,31.495,55.128,Mercedes,Eclass
2008,9.995,119.744,Mercedes,Eclass
2011,19.885,98.5,Chevrolet ,Silverado
2015,29.995,29.387,Honda,Accord
2015,20.865,26.014,Toyota,Rav16
2014,15.944,51.285,Ford,Escape
2015,18.382,28.77,Ford,Escape
2014,12.999,27.264,VW,Jetta
2014,27.938,42.492,Jeep,Cherokee
2014,20.282,28.775,Toyota,Rav43
2009,19.995,64,Chevrolet ,Silverado
2015,29.195,50.026,Mercedes,Eclass
2014,20.495,7.004,Ford,Escape
2008,7.675,138.277,Subaru,Outback
2008,16.999,129.206,GMC,Yukon
2015,19.995,19.715,Chevrolet ,Equinox
2015,49.995,14.273,GMC,Yukon
2015,53.795,31.375,GMC,Yukon
2017,56.695,5.472,Mercedes,Eclass
2007,8.495,118.034,Mercedes,Cclass
2015,18.9,54.727,Nissan,Altima
2013,18.742,85.71,Mercedes,Eclass
2016,53.901,11.001,GMC,Yukon
2009,10.5,125.2,BMW,X45
2015,18.382,28.77,Ford,Escape
2015,14.995,10.011,Kia,Soul
2013,15.997,70.492,Mercedes,Cclass
2015,22.606,35.73,Toyota,Rav42
2014,10.988,73.943,Kia,Soul
2015,22.99,34.68,Subaru,Outback
2010,7.985,98.382,Kia,Soul
2012,15.984,60.012,Subaru,Outback
2013,12.495,44.069,VW,Jetta
2012,17.436,56.677,Toyota,Rav11
2010,11.999,81.965,Nissan,Altima
2012,19.7,51.35,NIssan,Frontier
2004,2.695,185,Jeep,Cherokee
2011,14.988,72.747,BMW,366
2017,24.988,14.101,Ford,Escape
2008,15.352,144.248,GMC,Yukon
2009,11.888,139.088,BMW,328
2015,15.888,29.492,Chevrolet ,Equinox
2014,13.815,43.242,Kia,Soul
2015,42.753,10.826,Mercedes,Eclass
2014,29.995,16.92,Honda,Accord
2007,11.95,120.36,GMC,Yukon
2007,10.995,106.8,Subaru,Outback
2014,25.97,31.065,Mercedes,Cclass
2014,15.573,51.239,Chevrolet ,Equinox
2015,45.998,46.829,GMC,Yukon
2011,15.99,63.85,Nissan,Altima
2014,10.183,28.499,VW,Jetta
2017,28.992,1.992,Ford,Escape
2014,27.699,31.397,BMW,369
2010,6.25,99.955,Kia,Soul
2015,19.89,56.388,Subaru,Outback
2015,24.499,32.983,Subaru,Outback
2014,18.599,24.312,Toyota,Rav52
2014,21.9,24.166,Chevrolet ,Silverado
2014,16.566,63.259,Ford,Escape
2008,9.998,114.277,BMW,328
2010,8.852,87.23,Ford,Escape
2015,18.929,24.572,Toyota,Rav47
2014,21.45,50.07,BMW,328
2012,25.448,48.765,Honda,Accord
2009,10.995,70.489,BMW,334
2015,30.338,30.603,Jeep,Cherokee
2014,24.987,20.847,Nissan,Altima
2015,19.888,41.795,Chevrolet ,Equinox
2014,26.21,31.118,BMW,370
2014,23.599,18.407,BMW,328
2011,14.199,70.515,Jeep,Cherokee
2017,20.388,24.133,Ford,Escape
2015,21.764,16.112,NIssan,Frontier
2016,25,52.131,Subaru,Outback
2014,12.395,43.409,VW,Jetta
2013,14.993,35.069,Nissan,Rogue
2016,28.799,31.462,Mercedes,Cclass
2014,41.998,39.542,Mercedes,Eclass
2012,25.585,35.515,Chevrolet ,Silverado
2014,20.873,39.12,Toyota,Rav50
